1000
1,2,452,Z
1,3,122,N
2,3,980,K
2,4,410,C
3,4,978,E
3,5,125,Z
4,5,331,Q
4,6,271,D
5,6,510,O
5,7,248,R
6,7,998,F
6,8,546,R
7,8,807,Z
7,9,419,H
8,9,358,Q
8,10,487,T
9,10,793,N
9,11,822,Q
10,11,350,Y
10,12,29,K
11,12,328,J
11,13,884,J
12,13,403,G
12,14,804,O
13,14,321,Z
13,15,202,O
14,15,661,Q
14,16,204,A
15,16,364,Y
15,17,486,I
16,17,35,X
16,18,153,Q
17,18,76,W
17,19,202,I
18,19,306,B
18,20,875,V
19,20,420,A
19,21,528,Y
20,21,839,X
20,22,167,K
21,22,755,Q
21,23,445,D
22,23,111,G
22,24,777,D
23,24,985,W
23,25,240,G
24,25,166,L
24,26,996,Z
25,26,327,C
25,27,769,Q
26,27,404,D
26,28,374,T
27,28,267,U
27,29,924,Q
28,29,721,Y
28,30,967,K
29,30,697,H
29,31,525,F
30,31,562,G
30,32,103,S
31,32,106,N
31,33,948,C
32,33,465,H
32,34,236,M
33,34,184,V
33,35,432,X
34,35,592,Z
34,36,212,Q
35,36,455,J
35,37,421,L
36,37,462,M
36,38,613,M
37,38,174,U
37,39,408,I
38,39,560,N
38,40,754,S
39,40,251,Y
39,41,655,C
40,41,648,P
40,42,942,P
41,42,26,U
41,43,747,Y
42,43,138,D
42,44,607,X
43,44,806,Y
43,45,423,Y
44,45,505,O
44,46,950,U
45,46,462,M
45,47,784,B
46,47,206,S
46,48,364,F
47,48,625,N
47,49,412,V
48,49,65,Q
48,50,332,Z
49,50,970,J
49,51,925,C
50,51,221,U
50,52,901,M
51,52,468,P
51,53,893,O
52,53,8,J
52,54,519,R
53,54,901,X
53,55,129,Z
54,55,376,U
54,56,90,E
55,56,391,D
55,57,928,R
56,57,286,E
56,58,620,L
57,58,370,N
57,59,387,K
58,59,854,A
58,60,121,T
59,60,483,D
59,61,500,Z
60,61,613,E
60,62,82,Y
61,62,880,K
61,63,256,D
62,63,865,A
62,64,401,Y
63,64,57,G
63,65,303,O
64,65,4,J
64,66,337,F
65,66,872,S
65,67,368,X
66,67,337,K
66,68,24,A
67,68,745,Y
67,69,96,Q
68,69,37,Y
68,70,613,B
69,70,474,U
69,71,961,G
70,71,78,D
70,72,292,V
71,72,436,K
71,73,68,A
72,73,927,G
72,74,199,I
73,74,151,P
73,75,354,N
74,75,466,S
74,76,596,Z
75,76,361,A
75,77,892,Y
76,77,859,A
76,78,907,N
77,78,680,V
77,79,352,N
78,79,451,Q
78,80,471,H
79,80,3,N
79,81,485,V
80,81,219,L
80,82,626,W
81,82,964,W
81,83,987,T
82,83,796,U
82,84,794,Y
83,84,576,N
83,85,749,I
84,85,477,O
84,86,880,M
85,86,340,S
85,87,88,Z
86,87,716,U
86,88,814,Z
87,88,890,N
87,89,915,Y
88,89,67,A
88,90,574,V
89,90,482,P
89,91,807,C
90,91,844,R
90,92,631,N
91,92,936,D
91,93,383,V
92,93,149,V
92,94,89,X
93,94,500,Q
93,95,950,W
94,95,957,T
94,96,533,N
95,96,629,U
95,97,277,L
96,97,316,M
96,98,543,U
97,98,877,I
97,99,283,Y
98,99,510,B
98,100,606,H
99,100,423,K
99,101,981,I
100,101,264,F
100,102,632,K
101,102,579,N
101,103,502,F
102,103,633,I
102,104,96,L
103,104,881,K
103,105,325,L
104,105,226,U
104,106,194,F
105,106,361,R
105,107,259,K
106,107,678,Y
106,108,195,E
107,108,65,G
107,109,332,Z
108,109,810,H
108,110,227,A
109,110,70,D
109,111,659,R
110,111,677,H
110,112,156,H
111,112,801,B
111,113,736,N
112,113,945,Z
112,114,618,D
113,114,363,C
113,115,939,K
114,115,632,T
114,116,570,O
115,116,440,L
115,117,63,L
116,117,191,L
116,118,13,U
117,118,720,O
117,119,834,E
118,119,37,X
118,120,100,L
119,120,153,B
119,121,897,B
120,121,52,G
120,122,499,H
121,122,510,V
121,123,806,E
122,123,111,D
122,124,23,P
123,124,338,A
123,125,987,D
124,125,658,K
124,126,586,A
125,126,645,G
125,127,38,L
126,127,293,K
126,128,388,T
127,128,61,T
127,129,789,G
128,129,521,A
128,130,817,W
129,130,46,K
129,131,617,E
130,131,776,Q
130,132,439,L
131,132,818,R
131,133,76,M
132,133,256,W
132,134,6,Y
133,134,689,L
133,135,916,Q
134,135,889,Z
134,136,272,V
135,136,450,P
135,137,928,O
136,137,690,E
136,138,624,N
137,138,463,V
137,139,975,Q
138,139,719,C
138,140,356,D
139,140,485,P
139,141,430,Z
140,141,749,S
140,142,85,R
141,142,249,H
141,143,328,S
142,143,508,J
142,144,300,Q
143,144,883,S
143,145,693,D
144,145,180,E
144,146,292,M
145,146,862,G
145,147,741,D
146,147,272,M
146,148,732,L
147,148,589,Q
147,149,764,L
148,149,693,Y
148,150,4,B
149,150,512,A
149,151,734,T
150,151,995,B
150,152,204,E
151,152,276,M
151,153,961,H
152,153,946,I
152,154,610,E
153,154,878,D
153,155,671,N
154,155,918,K
154,156,698,X
155,156,976,A
155,157,763,A
156,157,268,R
156,158,853,Y
157,158,290,G
157,159,497,D
158,159,250,L
158,160,925,V
159,160,530,C
159,161,344,W
160,161,922,P
160,162,164,B
161,162,931,G
161,163,833,T
162,163,262,E
162,164,370,D
163,164,282,E
163,165,134,N
164,165,957,W
164,166,750,O
165,166,731,G
165,167,510,B
166,167,724,X
166,168,665,R
167,168,864,C
167,169,917,X
168,169,78,H
168,170,872,N
169,170,802,X
169,171,550,A
170,171,580,F
170,172,840,T
171,172,845,Q
171,173,291,T
172,173,157,C
172,174,42,H
173,174,976,K
173,175,792,L
174,175,247,A
174,176,678,E
175,176,834,N
175,177,909,U
176,177,443,M
176,178,385,I
177,178,174,X
177,179,347,H
178,179,836,F
178,180,385,Y
179,180,7,M
179,181,27,O
180,181,760,Q
180,182,29,D
181,182,284,H
181,183,540,L
182,183,981,V
182,184,543,P
183,184,349,U
183,185,468,O
184,185,301,B
184,186,51,B
185,186,451,A
185,187,491,D
186,187,450,R
186,188,743,O
187,188,227,K
187,189,421,S
188,189,130,X
188,190,259,A
189,190,107,B
189,191,318,W
190,191,347,M
190,192,824,G
191,192,123,L
191,193,613,W
192,193,751,U
192,194,403,O
193,194,653,D
193,195,299,K
194,195,249,F
194,196,24,N
195,196,294,L
195,197,595,K
196,197,294,S
196,198,24,P
197,198,42,V
197,199,345,D
198,199,37,H
198,200,405,Z
199,200,618,N
199,201,397,J
200,201,991,U
200,202,899,E
201,202,65,V
201,203,95,Z
202,203,990,D
202,204,679,J
203,204,594,Y
203,205,778,C
204,205,233,R
204,206,153,E
205,206,316,L
205,207,466,Q
206,207,918,F
206,208,371,S
207,208,878,Z
207,209,896,O
208,209,823,U
208,210,145,A
209,210,778,O
209,211,226,L
210,211,469,Q
210,212,640,S
211,212,589,V
211,213,749,F
212,213,791,M
212,214,353,N
213,214,565,D
213,215,381,R
214,215,980,X
214,216,860,G
215,216,961,N
215,217,337,P
216,217,316,V
216,218,655,F
217,218,396,H
217,219,33,X
218,219,34,U
218,220,695,R
219,220,826,S
219,221,521,W
220,221,572,E
220,222,371,H
221,222,681,J
221,223,502,E
222,223,697,K
222,224,358,T
223,224,593,P
223,225,373,L
224,225,97,O
224,226,563,C
225,226,412,V
225,227,928,Q
226,227,97,N
226,228,264,A
227,228,30,J
227,229,762,Z
228,229,164,R
228,230,133,L
229,230,117,E
229,231,720,K
230,231,722,G
230,232,532,S
231,232,441,S
231,233,415,V
232,233,316,A
232,234,112,F
233,234,501,C
233,235,18,C
234,235,749,W
234,236,176,H
235,236,972,K
235,237,43,L
236,237,50,V
236,238,971,T
237,238,500,E
237,239,687,M
238,239,658,U
238,240,578,A
239,240,94,T
239,241,413,Q
240,241,311,E
240,242,739,J
241,242,899,W
241,243,660,C
242,243,971,C
242,244,26,Y
243,244,712,M
243,245,890,G
244,245,147,X
244,246,847,W
245,246,298,W
245,247,233,O
246,247,31,M
246,248,820,I
247,248,722,K
247,249,521,H
248,249,63,D
248,250,54,U
249,250,698,B
249,251,682,J
250,251,703,O
250,252,241,Z
251,252,30,M
251,253,56,A
252,253,379,X
252,254,902,Y
253,254,20,H
253,255,584,G
254,255,43,D
254,256,39,D
255,256,331,R
255,257,31,Y
256,257,56,K
256,258,951,Q
257,258,703,P
257,259,1000,K
258,259,804,T
258,260,547,G
259,260,931,U
259,261,796,P
260,261,766,S
260,262,989,I
261,262,533,J
261,263,800,V
262,263,11,X
262,264,885,V
263,264,213,Q
263,265,956,A
264,265,213,Q
